DBMS_Base,DBMS_Tested,SQL_Query,SQL_File_Name,Result,ERROR_Type,ERROR_Message
postgresql,postgresql,"SELECT 	pg_advisory_xact_lock(1), pg_advisory_xact_lock_shared(2), 	pg_advisory_xact_lock(1, 1), pg_advisory_xact_lock_shared(2, 2)",advisory_lock.sql,SAME,,"[('', '', '', '')]"
postgresql,postgresql,SELECT pg_advisory_unlock_all(),advisory_lock.sql,SAME,,"[('',)]"
postgresql,postgresql,"SELECT 	pg_advisory_unlock(1), pg_advisory_unlock_shared(2), 	pg_advisory_unlock(1, 1), pg_advisory_unlock_shared(2, 2)",advisory_lock.sql,SAME,,"[(False, False, False, False)]"
postgresql,postgresql,COMMIT,advisory_lock.sql,SAME,,[]
postgresql,postgresql,BEGIN,advisory_lock.sql,SAME,,[]
postgresql,postgresql,"SELECT 	pg_advisory_xact_lock(1), pg_advisory_xact_lock_shared(2), 	pg_advisory_xact_lock(1, 1), pg_advisory_xact_lock_shared(2, 2)",advisory_lock.sql,SAME,,"[('', '', '', '')]"
postgresql,postgresql,ROLLBACK,advisory_lock.sql,SAME,,[]
postgresql,postgresql,"SELECT 	pg_advisory_unlock(1), pg_advisory_unlock(1), 	pg_advisory_unlock_shared(2), pg_advisory_unlock_shared(2), 	pg_advisory_unlock(1, 1), pg_advisory_unlock(1, 1), 	pg_advisory_unlock_shared(2, 2), pg_advisory_unlock_shared(2, 2)",advisory_lock.sql,SAME,,"[(False, False, False, False, False, False, False, False)]"
postgresql,postgresql,BEGIN,advisory_lock.sql,SAME,,[]
postgresql,postgresql,"SELECT 	pg_advisory_lock(1), pg_advisory_lock_shared(2), 	pg_advisory_lock(1, 1), pg_advisory_lock_shared(2, 2)",advisory_lock.sql,SAME,,"[('', '', '', '')]"
postgresql,postgresql,ROLLBACK,advisory_lock.sql,SAME,,[]
postgresql,postgresql,SELECT pg_advisory_unlock_all(),advisory_lock.sql,SAME,,"[('',)]"
postgresql,postgresql,BEGIN,advisory_lock.sql,SAME,,[]
postgresql,postgresql,"SELECT 	pg_advisory_xact_lock(1), pg_advisory_xact_lock(1), 	pg_advisory_xact_lock_shared(2), pg_advisory_xact_lock_shared(2), 	pg_advisory_xact_lock(1, 1), pg_advisory_xact_lock(1, 1), 	pg_advisory_xact_lock_shared(2, 2), pg_advisory_xact_lock_shared(2, 2)",advisory_lock.sql,SAME,,"[('', '', '', '', '', '', '', '')]"
postgresql,postgresql,COMMIT,advisory_lock.sql,SAME,,[]
postgresql,postgresql,"SELECT 	pg_advisory_lock(1), pg_advisory_lock(1), 	pg_advisory_lock_shared(2), pg_advisory_lock_shared(2), 	pg_advisory_lock(1, 1), pg_advisory_lock(1, 1), 	pg_advisory_lock_shared(2, 2), pg_advisory_lock_shared(2, 2)",advisory_lock.sql,SAME,,"[('', '', '', '', '', '', '', '')]"
postgresql,postgresql,"SELECT 	pg_advisory_unlock(1), pg_advisory_unlock(1), 	pg_advisory_unlock_shared(2), pg_advisory_unlock_shared(2), 	pg_advisory_unlock(1, 1), pg_advisory_unlock(1, 1), 	pg_advisory_unlock_shared(2, 2), pg_advisory_unlock_shared(2, 2)",advisory_lock.sql,SAME,,"[(True, True, True, True, True, True, True, True)]"
